Drug1,Drug2,Prob,Method
DB00130,C0009676,0.3467,LapRLS
DB06261,C0018965,0.3466,LapRLS
DB04572,C0030305,0.3461,LapRLS
DB00828,C0085632,0.3459,LapRLS
DB11180,C0085631,0.3456,LapRLS
DB00915,C0042109,0.3454,LapRLS
DB00313,C0423791,0.3454,LapRLS
DB00431,C3665386,0.3454,LapRLS
DB01019,C0020456,0.345,LapRLS
DB00659,C0086439,0.3446,LapRLS
DB00316,C0085584,0.3442,LapRLS
DB00828,C0020625,0.344,LapRLS
DB00431,C0026826,0.344,LapRLS
DB00316,C0086439,0.3436,LapRLS
DB00753,C0024282,0.3436,LapRLS
DB00597,C0151798,0.3434,LapRLS
DB01236,C0026827,0.3433,LapRLS
DB00720,C0038358,0.34299999999999997,LapRLS
DB00753,C0004604,0.34299999999999997,LapRLS
DB00431,C0085649,0.3429,LapRLS
DB00597,C0030305,0.3427,LapRLS
DB00316,C0023530,0.3427,LapRLS
DB00478,C0009676,0.3418,LapRLS
DB00478,C2830004,0.3418,LapRLS
DB04572,C0002962,0.3415,LapRLS
DB00125,C0030305,0.3414,LapRLS
DB06151,C0043094,0.3413,LapRLS
DB00720,C0042963,0.3411,LapRLS
DB00431,C0009319,0.341,LapRLS
DB00727,C0030554,0.341,LapRLS
DB00720,C0037274,0.3406,LapRLS
DB00187,C0033774,0.3406,LapRLS
DB11180,C0020580,0.3405,LapRLS
DB06151,C1456784,0.3405,LapRLS
DB00597,C0026826,0.3404,LapRLS
DB00658,C0085682,0.3403,LapRLS
DB11180,C0917801,0.3402,LapRLS
DB01008,C0018965,0.34,LapRLS
DB04572,C0085649,0.34,LapRLS
DB06151,C2830004,0.3395,LapRLS
DB06151,C0392525,0.33899999999999997,LapRLS
DB00659,C0026827,0.3388,LapRLS
DB00316,C2937350,0.3388,LapRLS
DB06151,C0009319,0.3381,LapRLS
DB00753,C0013404,0.33799999999999997,LapRLS
DB06261,C0009319,0.33799999999999997,LapRLS
DB00659,C0520966,0.33799999999999997,LapRLS
DB00753,C0017181,0.33799999999999997,LapRLS
DB06698,C0085632,0.3378,LapRLS
DB06698,C0014457,0.3378,LapRLS
DB00720,C0042024,0.3373,LapRLS
DB00859,C0015967,0.3365,LapRLS
DB04572,C0040264,0.3364,LapRLS
DB06151,C0014457,0.3363,LapRLS
DB00753,C0002418,0.3363,LapRLS
DB06698,C0020625,0.3358,LapRLS
DB00125,C0030252,0.3358,LapRLS
DB00597,C0085584,0.3357,LapRLS
DB01236,C0014457,0.3357,LapRLS
DB06151,C0040264,0.3355,LapRLS
DB00316,C0029408,0.3355,LapRLS
DB00915,C0020456,0.3352,LapRLS
DB00130,C0037274,0.3348,LapRLS
DB00125,C0013404,0.3344,LapRLS
DB00316,C0014868,0.3343,LapRLS
DB06151,C0002962,0.3343,LapRLS
DB00727,C0009319,0.3343,LapRLS
DB01019,C0424295,0.33399999999999996,LapRLS
DB00597,C0033975,0.33399999999999996,LapRLS
DB00597,C0392525,0.33399999999999996,LapRLS
DB06698,C0026826,0.3339,LapRLS
DB06698,C0018965,0.3337,LapRLS
DB01008,C0032285,0.3337,LapRLS
DB00597,C0014591,0.33299999999999996,LapRLS
DB01008,C0338831,0.3329,LapRLS
DB06151,C0033975,0.3329,LapRLS
DB00597,C0034065,0.3328,LapRLS
DB11180,C0009319,0.3327,LapRLS
